EbN0_dB,BLER_RS,BLER_bpsk
0.0,1.0000000000e+000,1.0000000000e+000
0.5,1.0000000000e+000,1.0000000000e+000
1.0,1.0000000000e+000,1.0000000000e+000
1.5,1.0000000000e+000,1.0000000000e+000
2.0,1.0000000000e+000,1.0000000000e+000
2.5,1.0000000000e+000,1.0000000000e+000
3.0,1.0000000000e+000,1.0000000000e+000
3.5,1.0000000000e+000,1.0000000000e+000
4.0,1.0000000000e+000,9.9999999999e-001
4.5,9.9990000000e-001,9.9999998505e-001
5.0,9.9460000000e-001,9.9999487915e-001
5.5,8.8834000000e-001,9.9962710251e-001
6.0,4.5750000000e-001,9.9238732368e-001
6.5,8.2590000000e-002,9.4259376640e-001
7.0,4.3600000000e-003,7.9337834343e-001
7.5,7.0000000000e-005,5.5678787504e-001
8.0,0.0000000000e+000,3.2259708713e-001
8.5,0.0000000000e+000,1.5748705962e-001
9.0,0.0000000000e+000,6.6300567611e-002
9.5,0.0000000000e+000,2.4399687031e-002
10.0,0.0000000000e+000,7.8680000191e-003
10.5,0.0000000000e+000,2.2086094038e-003
11.0,0.0000000000e+000,5.3292387771e-004
11.5,0.0000000000e+000,1.0869884098e-004
12.0,0.0000000000e+000,1.8372092447e-005
12.5,0.0000000000e+000,2.5153748968e-006
13.0,0.0000000000e+000,2.7191799834e-007
13.5,0.0000000000e+000,2.2551387313e-008
14.0,0.0000000000e+000,1.3892620387e-009
